Age,EdLevel,Gender,YearsCode,YearsCodePro,ComputerSkills,Accessibility,MentalHealth,MainBranch
0,4,0,18,10,8,0,0,1
0,2,0,12,7,8,0,0,1
1,3,0,10,5,4,0,0,1
1,2,0,30,20,15,0,0,1
1,3,0,24,20,20,0,0,1
0,2,0,8,5,8,0,1,1
0,2,0,6,3,27,0,0,1
1,3,0,20,20,8,0,0,1
0,3,0,6,5,14,0,0,1
0,3,0,10,2,13,0,0,1
1,3,0,5,4,5,0,0,1
0,1,0,4,3,17,0,0,0
1,3,0,15,6,20,0,1,1
0,1,0,27,9,12,0,1,1
1,2,0,12,12,18,0,0,0
0,2,0,4,0,22,0,0,1
1,3,0,25,21,16,0,0,1
0,2,0,4,3,8,0,1,1
0,2,0,2,1,7,0,0,1
0,1,0,10,3,13,0,0,1
0,2,0,7,2,4,0,1,1
0,2,0,8,3,12,0,0,1
1,2,1,27,20,16,1,1,1
1,2,0,23,15,18,0,0,1
0,2,0,13,4,23,0,0,1
0,2,0,6,3,21,0,0,1
0,2,0,10,2,12,0,0,1
0,2,0,15,5,15,0,0,1
1,2,0,27,22,11,0,1,1
0,2,0,8,4,12,0,0,1
0,2,0,11,5,11,0,0,1
0,1,0,6,3,10,0,0,1
0,3,0,6,1,8,0,1,0
1,3,0,25,21,25,0,0,1
0,2,0,4,2,5,0,0,1
1,2,0,40,30,13,1,0,1
0,2,0,4,0,12,0,0,1
0,1,0,8,7,17,0,1,1
0,3,1,10,3,4,0,0,1
1,3,0,24,16,15,0,0,1
1,2,0,42,38,9,0,1,1
0,0,0,7,7,6,1,1,1
0,3,0,7,2,17,0,0,1
0,3,0,16,11,11,0,0,1
1,2,0,24,19,15,0,0,1
0,2,0,5,2,12,0,0,1
0,2,0,7,2,18,0,0,1
1,2,0,18,11,17,0,0,1
0,3,0,20,10,8,0,0,1
0,2,0,7,5,8,0,0,1
0,1,0,20,20,16,0,0,1
1,3,0,16,12,12,0,0,1
1,3,0,29,17,9,0,0,1
1,2,0,44,38,4,1,1,1
1,2,0,20,20,13,0,0,1
1,2,0,28,25,15,0,0,1
0,3,0,13,4,27,0,0,1
1,2,0,20,12,10,0,1,1
0,2,0,20,10,11,0,0,1
0,2,0,10,0,24,0,1,1
0,2,0,6,3,8,0,0,0
0,2,0,12,10,32,0,0,1
0,2,0,13,6,17,0,0,1
0,3,0,11,7,19,0,0,1
0,1,0,6,6,16,0,1,1
0,3,0,15,10,20,0,0,1
0,1,0,6,4,21,0,0,1
1,3,0,30,20,7,1,0,1
0,3,0,9,3,16,0,1,1
